filename,condition,side,condition-side,P0_length,P1_length,P2_length,P01_length,P12_length,Ptotal_length,uniq-condition
p14.rsml,HH,L,HH-L,5.664195369958291,18.02137737896173,0.0,23.685572748920023,18.02137737896173,23.685572748920023,homo-high
p14.rsml,HH,R,HH-R,9.654850136078338,17.6141545803821,0.0,27.269004716460437,17.6141545803821,27.269004716460437,homo-high
p15.rsml,HL,L,HL-L,2.0286553300233434,11.827148360369804,0.0,13.855803690393147,11.827148360369804,13.855803690393147,hetero-high
p15.rsml,HL,R,HL-R,5.989949144008509,14.118970001102927,0.0,20.108919145111436,14.118970001102927,20.108919145111436,hetero-low
p16.rsml,HH,L,HH-L,0.0,9.81977377503523,0.0,9.81977377503523,9.81977377503523,9.81977377503523,homo-high
p16.rsml,HH,R,HH-R,0.0,13.293328934606638,0.0,13.293328934606638,13.293328934606638,13.293328934606638,homo-high
p17.rsml,LH,L,LH-L,3.497839563346508,17.925835527834103,0.0,21.423675091180613,17.925835527834103,21.423675091180613,hetero-low
p17.rsml,LH,R,LH-R,0.0,19.317434325503605,0.0,19.317434325503605,19.317434325503605,19.317434325503605,hetero-high
p18.rsml,HH,L,HH-L,2.6455515241566094,14.745660106894285,0.0,17.391211631050894,14.745660106894285,17.391211631050894,homo-high
p18.rsml,HH,R,HH-R,3.425764333258101,14.275563084540753,0.0,17.701327417798854,14.275563084540753,17.701327417798854,homo-high
p19.rsml,HL,L,HL-L,2.876786144763309,14.473377509683754,0.0,17.350163654447062,14.473377509683754,17.350163654447062,hetero-high
p19.rsml,HL,R,HL-R,1.698843252926522,16.30324981769112,0.0,18.002093070617644,16.30324981769112,18.002093070617644,hetero-low
p20.rsml,HH,L,HH-L,0.0,18.695425609396736,0.0,18.695425609396736,18.695425609396736,18.695425609396736,homo-high
p20.rsml,HH,R,HH-R,3.0067000891157596,19.836777496811493,0.0,22.843477585927253,19.836777496811493,22.843477585927253,homo-high
p21.rsml,LH,L,LH-L,8.64685246653172,18.403640107940028,0.0,27.05049257447175,18.403640107940028,27.05049257447175,hetero-low
p21.rsml,LH,R,LH-R,2.221717118284376,14.9005831369987,0.0,17.122300255283076,14.9005831369987,17.122300255283076,hetero-high
p23.rsml,HL,L,HL-L,0.0,13.441443370990129,0.0,13.441443370990129,13.441443370990129,13.441443370990129,hetero-high
p23.rsml,HL,R,HL-R,7.129975188617297,16.344136893477174,0.0,23.47411208209447,16.344136893477174,23.47411208209447,hetero-low
p47.rsml,HH,L,HH-L,4.359454524069893,12.401473858521534,0.0,16.760928382591427,12.401473858521534,16.760928382591427,homo-high
p47.rsml,HH,R,HH-R,9.84655038324424,10.435285274656342,0.0,20.281835657900583,10.435285274656342,20.281835657900583,homo-high
p48.rsml,LH,L,LH-L,5.474995509545533,15.368978685293204,0.0,20.843974194838736,15.368978685293204,20.843974194838736,hetero-low
p48.rsml,LH,R,LH-R,2.5047365609589356,19.419573663489107,0.0,21.924310224448043,19.419573663489107,21.924310224448043,hetero-high
p49.rsml,HH,L,HH-L,4.562025183494466,12.835534457209832,0.0,17.397559640704298,12.835534457209832,17.397559640704298,homo-high
p49.rsml,HH,R,HH-R,8.326881537739858,9.99314522336659,0.0,18.320026761106448,9.99314522336659,18.320026761106448,homo-high
p50.rsml,HL,L,HL-L,9.600404683689733,15.225385608268821,0.0,24.825790291958555,15.225385608268821,24.825790291958555,hetero-high
p50.rsml,HL,R,HL-R,9.238839691854785,13.923186116843553,0.0,23.16202580869834,13.923186116843553,23.16202580869834,hetero-low
p51.rsml,HH,L,HH-L,8.23767514126294,15.0582933760613,0.0,23.29596851732424,15.0582933760613,23.29596851732424,homo-high
p51.rsml,HH,R,HH-R,2.443304857122153,16.947570326901584,0.0,19.390875184023738,16.947570326901584,19.390875184023738,homo-high
p52.rsml,LH,L,LH-L,0.0,16.253641342475714,0.0,16.253641342475714,16.253641342475714,16.253641342475714,hetero-low
p52.rsml,LH,R,LH-R,0.0,17.68243402923005,0.0,17.68243402923005,17.68243402923005,17.68243402923005,hetero-high
p54.rsml,HL,L,HL-L,8.61238090276714,15.830362065835068,0.0,24.442742968602207,15.830362065835068,24.442742968602207,hetero-high
p54.rsml,HL,R,HL-R,4.869903802814992,14.265423500231435,0.0,19.135327303046427,14.265423500231435,19.135327303046427,hetero-low
p56.rsml,LH,L,LH-L,5.994212809567852,17.212035335205755,0.0,23.206248144773607,17.212035335205755,23.206248144773607,hetero-low
p56.rsml,LH,R,LH-R,0.0,19.564050062854324,0.0,19.564050062854324,19.564050062854324,19.564050062854324,hetero-high
p77.rsml,HH,L,HH-L,12.694083668263106,9.723027590563467,0.0,22.417111258826573,9.723027590563467,22.417111258826573,homo-high
p77.rsml,HH,R,HH-R,4.298473040376945,13.712288887200419,0.0,18.010761927577363,13.712288887200419,18.010761927577363,homo-high
p78.rsml,HL,L,HL-L,5.986647071403974,15.919295684442899,0.0,21.905942755846873,15.919295684442899,21.905942755846873,hetero-high
p78.rsml,HL,R,HL-R,6.325972286290093,19.214326164120234,0.0,25.540298450410326,19.214326164120234,25.540298450410326,hetero-low
p80.rsml,LH,L,LH-L,4.480881110409826,16.761053620748456,0.0,21.24193473115828,16.761053620748456,21.24193473115828,hetero-low
p80.rsml,LH,R,LH-R,3.912228361799564,20.64656930078349,0.0,24.558797662583054,20.64656930078349,24.558797662583054,hetero-high
p84.rsml,HH,L,HH-L,6.32631698488648,17.477866162325483,0.0,23.804183147211965,17.477866162325483,23.804183147211965,homo-high
p84.rsml,HH,R,HH-R,9.538040535409998,15.872799247320327,0.0,25.410839782730324,15.872799247320327,25.410839782730324,homo-high
p85.rsml,HL,L,HL-L,7.437128824470239,16.76026999008203,0.0,24.19739881455227,16.76026999008203,24.19739881455227,hetero-high
p85.rsml,HL,R,HL-R,7.860592818938141,16.026788188979136,0.0,23.887381007917277,16.026788188979136,23.887381007917277,hetero-low
p86.rsml,HH,L,HH-L,9.427552755139255,17.820142531588004,0.0,27.247695286727257,17.820142531588004,27.247695286727257,homo-high
p86.rsml,HH,R,HH-R,7.17874993029559,11.56624827300143,0.0,18.74499820329702,11.56624827300143,18.74499820329702,homo-high
p87.rsml,LH,L,LH-L,3.1277494448114185,14.428068977901496,0.0,17.555818422712914,14.428068977901496,17.555818422712914,hetero-low
p87.rsml,LH,R,LH-R,2.0124108367982885,16.652712566815598,0.0,18.665123403613887,16.652712566815598,18.665123403613887,hetero-high
p88.rsml,HH,L,HH-L,6.865370154560693,13.247776729839796,0.0,20.11314688440049,13.247776729839796,20.11314688440049,homo-high
p88.rsml,HH,R,HH-R,7.896772790566741,14.322096478198274,0.0,22.218869268765015,14.322096478198274,22.218869268765015,homo-high
p89.rsml,HL,L,HL-L,6.046398239225688,18.271133704678054,0.0,24.31753194390374,18.271133704678054,24.31753194390374,hetero-high
p89.rsml,HL,R,HL-R,3.2707872312766377,16.21326532489522,0.0,19.48405255617186,16.21326532489522,19.48405255617186,hetero-low
